product_id,name,brand,price,type,ingredients_parsed
p00010,CeraVe Moisturising Cream 50ml,CeraVe,4.0,Moisturiser,"[""purified water"", ""glycerin"", ""ceteareth-20 and cetearyl alcohol"", ""caprylic/capric triglyceride"", ""behentrimonium methosulfate"", ""cetearyl alcohol"", ""cetyl alcohol"", ""ceramide 3"", ""ceramide 6-ii"", ""ceramide 1"", ""hyaluronic acid"", ""cholesterol"", ""petrolatum"", ""dimethicone"", ""potassium phosphate"", ""dipotassium phosphate"", ""sodium lauroyl lactylate"", ""disodium edta"", ""phenoxyethanol"", ""methylparaben"", ""propylparaben"", ""phytosphingosine"", ""carbomer"", ""xanthan gum""]"
p00011,CeraVe Moisturising Cream 340g,CeraVe,13.0,Moisturiser,"[""purified water"", ""glycerin"", ""ceteareth-20 and cetearyl alcohol"", ""caprylic/capric triglyceride"", ""behentrimonium methosulfate"", ""cetearyl alcohol"", ""cetyl alcohol"", ""ceramide 3"", ""ceramide 6-ii"", ""ceramide 1"", ""hyaluronic acid"", ""cholesterol"", ""petrolatum"", ""dimethicone"", ""potassium phosphate"", ""dipotassium phosphate"", ""sodium lauroyl lactylate"", ""disodium edta"", ""phenoxyethanol"", ""methylparaben"", ""propylparaben"", ""phytosphingosine"", ""carbomer"", ""xanthan gum""]"
p00012,First Aid Beauty Ultra Repair Cream (56.7g),First Aid Beauty,12.0,Moisturiser,"[""colloidal oatmeal"", ""water"", ""stearic acid"", ""glycerin"", ""c12-15 alkyl benzoate"", ""caprylic/capric triglyceride"", ""glyceryl stearate"", ""glyceryl stearate se"", ""cetearyl alcohol"", ""caprylyl glycol"", ""phenoxyethanol"", ""butyrospermum parkii"", ""squalane"", ""allantoin"", ""sodium hydroxide"", ""dimethicone"", ""xanthan gum"", ""disodium edta"", ""chrysanthemum parthenium  extract"", ""camellia sinensis leaf extract"", ""butylene glycol"", ""glycyrrhiza glabra  root extract"", ""eucalyptus globulus leaf extract"", ""ceramide 3""]"
p00013,Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),Avène,16.0,Moisturiser,"[""avene thermal spring water"", ""ethylhexyl methoxycinnamate"", ""c12-15 alkyl benzoate"", ""carthamus tinctorius  seed\u00a0oil"", ""cyclomethicone"", ""glycerin"", ""caprylic/capric triglyceride"", ""octocrylene"", ""bisethylhexyloxyphenol\u00a0methoxyphenyl triazine"", ""arachidyl alcohol"", ""glyceryl stearate"", ""peg- 100 stearate"", ""arachidyl glucoside"", ""behenyl alcohol"", ""bht. blue 1"", ""caprylyl glycol"", ""dextran sulfate"", ""disodium edta"", ""fragrance"", ""hesperidin methyl chalcone"", ""hydroxyethyl\u00a0acrylate/sodium acryloyldimethyl taurate copolymer"", ""isohexadecane"", ""magnesium silicate"", ""mica"", ""polysorbate 60"", ""ruscus aculeatus root\u00a0extract"", ""sorbic acid"", ""sorbitan isostearate"", ""titanium dioxide"", ""water"", ""xanthan gum""]"
p00014,Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,Clinique,30.0,Moisturiser,"[""water\\aqua\\eau"", ""mineral oil\\paraffinum liquidum\\huile min\u00e9rale"", ""glycerin"", ""petrolatum"", ""stearic acid"", ""glyceryl stearate"", ""sesamum indicum  oil"", ""urea"", ""lanolin alcohol"", ""triethanolamine"", ""hordeum vulgare  extract\\extrait d'orge"", ""cucumis sativus  fruit extract"", ""helianthus annuus  seedcake"", ""propylene glycol dicaprate"", ""sodium hyaluronate"", ""butylene glycol"", ""pentylene glycol"", ""trisodium edta"", ""phenoxyethanol"", ""yellow 6"", ""yellow 5"", ""red 33 ""]"
p00015,First Aid Beauty Ultra Repair Cream (170g),First Aid Beauty,25.0,Moisturiser,"[""colloidal oatmeal"", ""water"", ""stearic acid"", ""glycerin"", ""c12-15 alkyl benzoate"", ""caprylic/capric triglyceride"", ""glyceryl stearate"", ""glyceryl stearate se"", ""cetearyl alcohol"", ""caprylyl glycol"", ""phenoxyethanol"", ""butyrospermum parkii"", ""squalane"", ""allantoin"", ""sodium hydroxide"", ""dimethicone"", ""xanthan gum"", ""disodium edta"", ""chrysanthemum parthenium  extract"", ""camellia sinensis leaf extract"", ""butylene glycol"", ""glycyrrhiza glabra  root extract"", ""eucalyptus globulus leaf extract"", ""ceramide 3""]"
p00016,Weleda Skin Food (75ml),Weleda,12.95,Moisturiser,"[""water"", ""helianthus annuus  seed oil"", ""lanolin"", ""prunus amygdalus dulcis  oil"", ""beeswax"", ""alcohol"", ""polyglyceryl-3 polyricinoleate"", ""glycerin"", ""limonene"", ""viola tricolor extract"", ""fragrance"", ""hydrolyzed beeswax"", ""sobitan olivate"", ""rosmarinus officinalis  leaf extract"", ""chamomilla recutita  flower extract"", ""calendula officinalis flower extract"", ""arginine"", ""zinc sulfate"", ""linalool"", ""geraniol"", ""citral"", ""coumarin""]"
p00017,Neutrogena Hydro Boost City Shield SPF Moisturiser,Neutrogena,12.99,Moisturiser,"[""water"", ""glycerin"", ""homosalate"", ""caprylyl methicone"", ""ethylhexyl salicylate"", ""butyl methoxydibenzoylmethane"", ""phenylbenzimidazole sulfonic acid"", ""octocrylene"", ""sodium acryloyldimethyltaurate/vp crosspolymer"", ""silica"", ""sodium hyaluronate"", ""tocopheryl acetate"", ""dicaprylyl carbonate"", ""glyceryl stearate"", ""steareth-21"", ""sodium polyacrylate"", ""disodium edta"", ""sodium hydroxide"", ""sodium ascorbyl phosphate"", ""tocopherol"", ""benzyl alcohol"", ""chlorphenesin"", ""phenoxyethanol"", ""parfum"", ""ci 16035"", ""ci 42090""]"
p00018,Egyptian Magic All Purpose Skin Cream 118ml/4oz,Egyptian Magic,30.0,Moisturiser,"[""olive oil"", ""beeswax"", ""honey"", ""bee pollen"", ""royal jelly"", ""propolis extract""]"
p00019,JASON Aloe Vera 98% Moisturising Gel Tube 113g,JASON,2.99,Moisturiser,"[""aloe barbadensis  leaf gel"", ""water"", ""vegetable glycerin"", ""allantoin"", ""polysorbate 20"", ""panthenol"", ""potassium carbomer"", ""arginine"", ""natural menthol"", ""benzyl alcohol"", ""potassium sorbate"", ""sodium benzoate"", ""chlorophyllin-copper complex"", ""fragrance oil blend""]"
p00020,CeraVe Moisturising Cream 177ml,CeraVe,9.0,Moisturiser,"[""purified water"", ""glycerin"", ""ceteareth-20 and cetearyl alcohol"", ""caprylic/capric triglyceride"", ""behentrimonium methosulfate"", ""cetearyl alcohol"", ""cetyl alcohol"", ""ceramide 3"", ""ceramide 6-ii"", ""ceramide 1"", ""hyaluronic acid"", ""cholesterol"", ""petrolatum"", ""dimethicone"", ""potassium phosphate"", ""dipotassium phosphate"", ""sodium lauroyl lactylate"", ""disodium edta"", ""phenoxyethanol"", ""methylparaben"", ""propylparaben"", ""phytosphingosine"", ""carbomer"", ""xanthan gum""]"
p00021,Embryolisse Lait-Crème Concentré (75ml),Embryolisse,20.0,Moisturiser,"[""aqua. paraffinum liquidum. stearic acid. glyceryl stearate. triethanolamine. cera alba. cetyl palmitate. butyrospermum parkii.\u00a0steareth-10. polyacrylamide c13-14 isoparaffin"", ""laureth-7. propylene glycol"", ""hydrolyzed soy protein"", ""aloe barbadensis. 1"", ""2-hexanediol"", ""caprylyl glycol. tropolone. parfum""]"
p00022,La Roche-Posay Effaclar H Moisturiser 40ml,La Roche-Posay,9.99,Moisturiser,"[""water"", ""squalane"", ""glycerin"", ""cyclohexasiloxane"", ""propylene glycol"", ""butyrospermum parkii / shea butter"", ""caprylic/capric triglyceride"", ""peg-100 stearate"", ""glyceryl stearate"", ""peg-20 stearate"", ""bisabolol"", ""tea-carbomer"", ""ammonium polyacryloyldimethyl taurate"", ""disodium edta"", ""hydroxypalmitoyl sphinganine"", ""tetrasodium edta"", ""xanthan gum"", ""cetyl alcohol"", ""stearyl alcohol"", ""myristyl alcohol"", ""t-butyl alcohol"", ""citric acid"", ""tocopherol"", ""sodium benzoate"", ""phenoxyethanol"", ""methylparaben"", ""propylparaben"", ""parfum ""]"
p00023,Bulldog Original Moisturiser 100ml,Bulldog,4.5,Moisturiser,"[""water"", ""ethylhexyl palmitate"", ""caprylic/capric triglyceride"", ""glycerin"", ""sodium polyacrylate"", ""sorbitan stearate"", ""pentaerythrityl distearate"", ""phenoxyethanol"", ""tocopheryl acetate"", ""sodium stearoyl glutamate"", ""benzoic acid"", ""carbomer"", ""dehydroacetic acid"", ""mannan"", ""camellia sinensis leaf extract"", ""hydrolyzed algin"", ""citrus aurantium bergamia  peel oil"", ""citrus limon  peel oil"", ""sodium hydroxide"", ""ethylhexylglycerin"", ""artemisia vulgaris oil"", ""maris aqua"", ""polyaminopropyl biguanide"", ""pelargonium graveolens oil"", ""pogostemon cablin leaf oil"", ""chlorella vulgaris extract"", ""citrus aurantifolia  oil"", ""evernia furfuracea  extract"", ""juniperus virginiana oil"", ""vetiveria zizanoides root oil"", ""citral"", ""citronellol"", ""geraniol"", ""limonene"", ""linalool""]"
p00024,Clinique Dramatically Different Moisturising Gel 125ml with Pump,Clinique,30.0,Moisturiser,"[""water\\aqua\\eau"", ""dimethicone"", ""isododecane"", ""butylene glycol"", ""bis-peg-18 methyl ether dimethyl silane"", ""glycerin"", ""laminaria saccharina extract"", ""polygonum cuspidatum root extract"", ""saccharomyces lysate extract"", ""cucumis sativus  fruit extract"", ""hordeum vulgare  extract\\extrait d'orge"", ""helianthus annuus  seedcake"", ""caffeine"", ""trehalose"", ""sodium hyaluronate"", ""tocopheryl acetate"", ""polysilicone-11"", ""silica"", ""propylene glycol dicaprate"", ""oleth-10"", ""lactobacillus ferment"", ""laureth-23"", ""laureth-4"", ""ammonium acryloyldimethyltaurate/vp copolymer"", ""carbomer"", ""caprylyl glycol"", ""hexylene glycol"", ""tromethamine"", ""disodium edta"", ""phenoxyethanol"", ""yellow 5"", ""red 4"", ""yellow 6 ""]"
p00025,La Roche-Posay Effaclar Duo+ SPF30 40ml,La Roche-Posay,17.5,Moisturiser,"[""water"", ""octocrylene"", ""glycerin"", ""homosalate"", ""ethylhexyl salicylate"", ""alcohol denat"", ""niacinamide"", ""butyl methoxydibenzoylmethane"", ""dimethicone"", ""sorbitan stearate"", ""silica"", ""isopropyllauroyl"", ""sarcosinate"", ""styrene/acrylates""]"
p00026,Avene Very High Protection B-Protect SPF 50+ 30ml,Avene,14.0,Moisturiser,"[""avene thermal spring water"", ""c12-15 alkyl benzoate"", ""dicaprylyl carbonate"", ""methylene bis-benzotriazolyl tetramethylbutylphenol [nano]"", ""water"", ""silica"", ""bis-ethylhexyloxyphenol methoxyphenyl triazine"", ""diethylhexyl butamido triazone"", ""aluminum starch octenylsuccinate"", ""diisopropyl adipate"", ""butyl methoxydibenzoylmethane"", ""titanium dioxide"", ""decyl glucoside"", ""glyceryl stearate"", ""potassium cetyl phosphate"", ""vp/eicosene copolymer"", ""acrylates/ammonium methacrylate copolymer"", ""acrylates/c10-30 alkyl acrylate crosspolymer"", ""alumina"", ""benzoic acid"", ""butylene glycol"", ""caprylic/capric triglyceride"", ""caprylyl glycol"", ""disodium edta"", ""fragrance"", ""glyceryl behenate"", ""glyceryl dibehenate"", ""isopropyl myristate"", ""oxothiazolidine"", ""propylene glycol"", ""sodium benzoate"", ""sodium hydroxide"", ""stearyl alcohol"", ""tocopherol"", ""tocopheryl glucoside"", ""tribehenin"", ""triethyl citrate"", ""xanthan gum""]"
p00027,Avène Tolérance Extrême Emulsion 50ml,Avène,11.25,Moisturiser,"[""avene thermal spring water"", ""squalane"", ""behenyl alcohol"", ""caprylic/capric triglyceride"", ""glycerin"", ""sodium acrylates/c10-30 alkyl acrylate crosspolymer"", ""water ""]"
p00028,Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,Estée Lauder,40.5,Moisturiser,"[""water\\aqua\\eau"", ""ethylhexyl salicylate"", ""dimethicone"", ""butyloctyl salicylate"", ""butylene glycol"", ""butyl methoxydibenzoylmethane"", ""polyester-8"", ""cetyl ricinoleate"", ""steareth-21"", ""steareth-2"", ""di-c12-15 alkyl fumarate"", ""caprylic/capric/myristic/stearic triglyceride"", ""polysilicone-11"", ""psidium guajava  fruit extract"", ""gentiana lutea  root extract"", ""polygonum cuspidatum root extract"", ""stearyl alcohol"", ""hordeum vulgare  extract\\extrait d'orge"", ""laminaria ochroleuca extract"", ""rosmarinus officinalis  leaf extract"", ""triticum vulgare  germ extract"", ""artemia extract"", ""fumaria officinalis flower/leaf/stem extract"", ""caffeine"", ""pentylene glycol"", ""citrus medica limonum  fruit extract"", ""hydrolyzed rice extract"", ""vitis vinifera  seed extract"", ""hydrolyzed rice bran extract"", ""lauryl peg-9 polydimethylsiloxyethyl dimethicone"", ""thermus thermophillus ferment"", ""behenyl alcohol"", ""acrylic acid/vp crosspolymer"", ""triacontanyl pvp"", ""glycerin"", ""c12-15 alkyl benzoate"", ""linoleic acid"", ""cholesterol"", ""squalane"", ""sodium pca"", ""1"", ""2-hexanediol"", ""urea"", ""caprylic/capric triglyceride"", ""dipropylene glycol dibenzoate"", ""tocopheryl acetate"", ""acrylamide/sodium acryloyldimethyltaurate copolymer"", ""tetrahexyldecyl ascorbate"", ""sodium hyaluronate"", ""ergothioneine"", ""isohexadecane"", ""ppg-15 stearyl ether benzoate"", ""glycyrrhetinic acid"", ""trehalose"", ""polyquaternium-51"", ""polysorbate 80"", ""lecithin"", ""hydrogenated lecithin"", ""fumaric acid"", ""palmitoyl hydroxypropyltrimonium amylopectin/glycerin crosspolymer"", ""caprylyl glycol"", ""cyclodextrin"", ""sodium hydroxide"", ""nordihydroguaiaretic acid"", ""sodium chloride"", ""ascorbyl tocopheryl maleate"", ""fragrance"", ""citric acid"", ""ethylbisiminomethylguaiacol manganese chloride"", ""pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate"", ""disodium edta"", ""bht"", ""sodium dehydroacetate"", ""phenoxyethanol"", ""blue 1"", ""yellow 5"", ""chromium hydroxide green""]"
p00029,Embryolisse Lait-Crème Concentré (30ml),Embryolisse,13.0,Moisturiser,"[""aqua. paraffinum liquidum. stearic acid. glyceryl stearate. triethanolamine. cera alba. cetyl palmitate. butyrospermum parkii.\u00a0steareth-10. polyacrylamide c13-14 isoparaffin"", ""laureth-7. propylene glycol"", ""hydrolyzed soy protein"", ""aloe barbadensis. 1"", ""2-hexanediol"", ""caprylyl glycol. tropolone. parfum""]"
p00030,The Chemistry Brand Intense Youth Complex Hand Cream 100ml,The Chemistry Brand,18.99,Moisturiser,"[""water"", ""propanediol"", ""caprylic/capric triglyceride"", ""cetearyl alcohol"", ""cetearyl glucoside"", ""cyclopentasiloxane"", ""cetyl alcohol"", ""glycerin"", ""tremella fuciformis sporocarp extract"", ""cellulose"", ""pseudoalteromonas ferment extract"", ""calendula officinalis flower extract"", ""alanine"", ""proline"", ""serine"", ""tocopherol"", ""glycine soja oil"", ""dimethicone/vinyl dimethicone crosspolymer"", ""sodium polyacrylate"", ""menthol"", ""betaine"", ""xanthan gum"", ""caprylyl glycol"", ""potassium sorbate"", ""acrylates/c12-22 alkyl methacrylate copolymer"", ""ethyl menthane carboxamide"", ""hydroxypropylcellulose"", ""menthyl lactate"", ""propylene glycol"", ""methyl diisopropyl propionamide"", ""ethylhexylglycerin"", ""sodium phosphate"", ""sodium hydroxide"", ""chlorphenesin phenoxyethanol"", ""fragrance"", ""citral"", ""coumarin"", ""geraniol"", ""limonene"", ""linalool""]"
p00031,Avène Tolérance Extrême Cream 50ml,Avène,15.0,Moisturiser,"[""avene thermal spring water"", ""caprylic/capric triglyceride"", ""glycerin"", ""butyrospermum parkii  butter"", ""carthamus tinctorius  seed oil"", ""behenyl alcohol"", ""sodium acrylates/c10-30 alkyl acrylate crosspolymer"", ""water ""]"
p00032,La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,La Roche-Posay,19.0,Moisturiser,"[""aqua / water"", ""glycerin"", ""squalane"", ""propanediol"", ""butylene glycol"", ""butyrospermum parkii butter / shea butter"", ""pentylene glycol"", ""niacinamide"", ""dimethicone"", ""ammonium polyacryldimethyltauramide / ammonium polyacryloyldimethyl taurate"", ""polymethylsilsesquioxane"", ""polysorbate 20"", ""allantoin"", ""glyceryl acrylate/acrylic acid copolymer"", ""dimethiconol"", ""aluminum starch octenylsuccinate"", ""carnosine"", ""disodium edta"", ""citric acid"", ""acetyl dipeptide-1 cetyl ester"", ""xanthan gum"", ""t-butyl alcohol"", ""toluene sulfonic acid"", ""tocopherol""]"
p00033,First Aid Beauty Hello FAB Coconut Water Cream,First Aid Beauty,30.0,Moisturiser,"[""cocos nucifera  fruit juice"", ""glucose"", ""maltodextrin"", ""water"", ""dimethicone"", ""cyclopentasiloxane"", ""sodium acrylate/sodium acryloyldimethyl taurate copolymer"", ""cocos nu-cifera  fruit extract"", ""alteromonas\u00a0ferment filtrate"", ""pyrus malus  fruit extract"", ""prunus armeniaca  fruit extract"", ""vanilla planifolia\u00a0fruit extract"", ""sodium hyaluronate"", ""sea salt"", ""lycium barbarum fruit extract"", ""glycyrrhiza\u00a0glabra  root extract"", ""chrysanthemum parthenium  extract"", ""camellia sinensis leaf extract"", ""dip-teryx odorata seed extract"", ""coffea arabica  seed extract"", ""caprylyl glycol"", ""caprylic/capric triglyceride"", ""butylene glycol"", ""hydrogenated polydecene"", ""dimethicone cross-polymer"", ""dipropylene glycol"", ""cetyl diglyceryl tris silylethyl dimethicone"", ""phe-noxyethanol"", ""laureth-8""]"
p00034,Elemis Pro-Collagen Marine Cream SPF30 50ml,Elemis,87.0,Moisturiser,"[""aqua/water/eau"", ""glycerin"", ""caprylic/capric triglyceride"", ""glyceryl stearate se"", ""isononyl isononanoate"", ""dicaprylyl carbonate"", ""dimethicone"", ""butyl methoxydibenzoylmethane"", ""ethylhexyl methoxycinnamate"", ""phenoxyethanol"", ""polyacrylate-13"", ""butylene glycol"", ""cetyl alcohol"", ""hydroxyacetophenone"", ""octocrylene"", ""stearic acid"", ""tocopheryl acetate"", ""coco-caprylate"", ""xanthan gum"", ""chlorphenesin"", ""polyisobutene"", ""fragrance"", ""disodium edta"", ""lecithin"", ""tocopherol"", ""butyrospermum parkii  butter"", ""citric acid"", ""daucus carota sativa  root extract"", ""triticum vulgare  germ oil"", ""chlorella vulgaris extract"", ""glyceryl polyacrylate"", ""benzyl benzoate"", ""glyceryl acrylate/acrylic acid copolymer"", ""padina pavonica thallus extract"", ""sodium dehydroacetate"", ""polysorbate 20"", ""sorbitan isostearate"", ""ginkgo biloba leaf extract"", ""porphyridium cruentum extract"", ""dipropylene glycol"", ""citronellol"", ""geraniol"", ""hydroxycitronellal"", ""citrus limon  peel oil"", ""limonene"", ""potassium sorbate"", ""sodium benzoate"", ""citrus aurantium amara  peel oil""]"
p00035,Avène Aqua Gel 50ml,Avène,20.0,Moisturiser,"[""avene thermal spring water . glycerin. pentylene glycol. 1"", ""2-hexanediol. dimethicone. isocetyl stearoyl stearate. triethylhexanoin. caprylic/capric triglyceride. betaine. methyl gluceth-20. polyglyceryl-10 myristate. acrylates/c10-30 alkyl acrylate crosspolymer. bht. bis-peg-18 methyl ether dimethyl silane. c12-20 alkyl glucoside. c14-22 alcohols. carbomer. citric acid. cucurbita pepo  seed oil . fragrance . phytosterols. potassium hydroxide. sodium citrate. sodium dextran sulfate. sodium hyaluronate. squalane. tocopheryl glucoside. water ""]"
